Datetime,PM10 (ug/m3),Predicted_Cases_Week1,Predicted_Cases_Week2,Predicted_Cases_Week3,Predicted_Cases_Week4,Predicted_Cases_Week8,Predicted_Cases_Week12
2019-09-22,5969.75,5353.46168828436,6147.540974358659,4042.672106744304,5397.046904036326,5248.498013536247,6210.714057254254
2019-09-29,6324.58,5906.639530742803,5353.46168828436,6147.540974358659,4042.672106744304,3840.7548625234604,4771.431493985338
2019-10-06,6822.5,6145.438037323576,5906.639530742803,5353.46168828436,6147.540974358659,5338.845602616367,5799.952506291507
2019-10-13,7362.5,7244.8939389313255,6145.438037323576,5906.639530742803,5353.46168828436,5798.4993949090185,4946.5849292633275
2019-10-20,4688.58,4589.960889715892,7244.8939389313255,6145.438037323576,5906.639530742803,5397.046904036326,5248.498013536247
2019-10-27,4941.67,4831.810256925726,4589.960889715892,7244.8939389313255,6145.438037323576,4042.672106744304,3840.7548625234604
2019-11-03,5954.5,5992.318543885797,4831.810256925726,4589.960889715892,7244.8939389313255,6147.540974358659,5338.845602616367
2019-11-10,18017.41,18551.272107826822,5992.318543885797,4831.810256925726,4589.960889715892,5353.46168828436,5798.4993949090185
2019-11-17,7560.25,8174.066963448213,18551.272107826822,5992.318543885797,4831.810256925726,5906.639530742803,5397.046904036326
2019-11-24,9333.5,9489.095763541949,8174.066963448213,18551.272107826822,5992.318543885797,6145.438037323576,4042.672106744304
2019-12-01,6844.75,6298.351601731755,9489.095763541949,8174.066963448213,18551.272107826822,7244.8939389313255,6147.540974358659
2019-12-08,8801.76,9097.373310491224,6298.351601731755,9489.095763541949,8174.066963448213,4589.960889715892,5353.46168828436
2019-12-15,6414.57,6544.7464982206675,9097.373310491224,6298.351601731755,9489.095763541949,4831.810256925726,5906.639530742803
2019-12-22,11124.75,11351.819342537954,6544.7464982206675,9097.373310491224,6298.351601731755,5992.318543885797,6145.438037323576
2019-12-29,10269.08,10400.568265114764,11351.819342537954,6544.7464982206675,9097.373310491224,18551.272107826822,7244.8939389313255
2020-01-05,3035.0,3206.8723421962222,10400.568265114764,11351.819342537954,6544.7464982206675,8174.066963448213,4589.960889715892
2020-01-12,8964.25,9145.734927618518,3206.8723421962222,10400.568265114764,11351.819342537954,9489.095763541949,4831.810256925726
2020-01-19,10103.75,10361.35352735854,9145.734927618518,3206.8723421962222,10400.568265114764,6298.351601731755,5992.318543885797
2020-01-26,9125.42,9265.795128644446,10361.35352735854,9145.734927618518,3206.8723421962222,9097.373310491224,18551.272107826822
2020-02-02,11231.25,11353.977070160394,9265.795128644446,10361.35352735854,9145.734927618518,6544.7464982206675,8174.066963448213
2020-02-09,8505.92,8667.565319445584,11353.977070160394,9265.795128644446,10361.35352735854,11351.819342537954,9489.095763541949
2020-02-16,9491.5,9563.242025516376,8667.565319445584,11353.977070160394,9265.795128644446,10400.568265114764,6298.351601731755
2020-02-23,9273.17,9488.797897764072,9563.242025516376,8667.565319445584,11353.977070160394,3206.8723421962222,9097.373310491224
